
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:623            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2701           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5985           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:6000           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:8005           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:8081           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:16992          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:35729          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:47001          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:50260          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:50261          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:50286          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:52592          0.0.0.0:0              LISTENING
  TCP    10.79.4.159:139        0.0.0.0:0              LISTENING
  TCP    10.79.4.159:2148       10.87.154.148:59626    ESTABLISHED
  TCP    10.79.4.159:2182       131.177.27.106:50210   ESTABLISHED
  TCP    10.79.4.159:2215       10.75.8.7:49698        ESTABLISHED
  TCP    10.79.4.159:2249       10.87.17.49:62396      ESTABLISHED
  TCP    10.79.4.159:2266       131.115.51.7:8080      ESTABLISHED
  TCP    10.79.4.159:2268       131.115.51.7:8080      ESTABLISHED
  TCP    10.79.4.159:2269       131.115.51.7:8080      ESTABLISHED
  TCP    10.79.4.159:2280       131.115.51.7:8080      ESTABLISHED
  TCP    10.79.4.159:2683       131.115.51.8:8080      ESTABLISHED
  TCP    10.79.4.159:2695       20.54.37.64:443        ESTABLISHED
  TCP    10.79.4.159:2713       78.67.102.212:17472    ESTABLISHED
  TCP    10.79.4.159:2783       131.116.161.183:80     ESTABLISHED
  TCP    10.79.4.159:2889       131.116.122.79:49503   ESTABLISHED
  TCP    10.79.4.159:2926       131.115.51.8:8080      ESTABLISHED
  TCP    10.79.4.159:3224       131.115.51.7:8080      ESTABLISHED
  TCP    10.79.4.159:3479       131.115.51.7:8080      ESTABLISHED
  TCP    10.79.4.159:3499       131.115.51.7:8080      ESTABLISHED
  TCP    10.79.4.159:3595       131.115.51.7:8080      ESTABLISHED
  TCP    10.79.4.159:3653       131.115.51.7:8080      ESTABLISHED
  TCP    10.79.4.159:3659       131.115.51.7:8080      ESTABLISHED
  TCP    10.79.4.159:3763       131.115.51.6:8080      ESTABLISHED
  TCP    10.79.4.159:3770       131.115.51.6:8080      ESTABLISHED
  TCP    10.79.4.159:3808       131.115.51.6:8080      ESTABLISHED
  TCP    10.79.4.159:3815       131.115.51.6:8080      ESTABLISHED
  TCP    10.79.4.159:3819       131.115.51.6:8080      CLOSE_WAIT
  TCP    10.79.4.159:3827       131.115.51.8:8080      ESTABLISHED
  TCP    10.79.4.159:3834       78.67.102.230:443      ESTABLISHED
  TCP    10.79.4.159:3843       131.115.51.6:8080      ESTABLISHED
  TCP    10.79.4.159:3862       131.115.51.6:8080      ESTABLISHED
  TCP    10.79.4.159:3867       81.227.116.101:9998    ESTABLISHED
  TCP    10.79.4.159:49413      20.54.37.73:443        ESTABLISHED
  TCP    10.79.4.159:59767      10.75.8.7:49698        ESTABLISHED
  TCP    127.0.0.1:3864         127.0.0.1:52592        ESTABLISHED
  TCP    127.0.0.1:3866         127.0.0.1:17473        TIME_WAIT
  TCP    127.0.0.1:3868         127.0.0.1:17473        TIME_WAIT
  TCP    127.0.0.1:6000         127.0.0.1:14308        ESTABLISHED
  TCP    127.0.0.1:6000         127.0.0.1:14309        ESTABLISHED
  TCP    127.0.0.1:6000         127.0.0.1:14310        ESTABLISHED
  TCP    127.0.0.1:11434        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:14308        127.0.0.1:6000         ESTABLISHED
